master_schema_version,record_id,crawler_owner,raw_schema_type,raw_file_path,raw_file_name,raw_record_index,post_id,post_url,content_hash,dedup_key,page_name,page_handle,page_url,page_followers,page_followers_raw,has_page_followers,post_type,external_url,post_content_for_labeling,post_content_length,word_count,topic_label_final,topic_label_id,label_status,label_source,annotator_1,annotator_2,annotation_round,annotation_note,is_uncertain_label,like_count,love_count,haha_count,wow_count,sad_count,angry_count,care_count,sorry_count,total_reactions,reaction_detail_sum,reaction_detail_coverage_ratio,has_reaction_total,has_reaction_details,reaction_details_status,share_count,comment_count,has_share_count,has_comment_count,has_engagement_basic,post_created_time_raw,post_created_time_unix,post_created_time_human,post_created_date,post_created_hour,post_created_weekday,timestamp_source,timestamp_status,has_post_created_time,crawl_time_raw,crawl_time_unix,crawl_time_human,metadata_observed_at,has_crawl_time,reaction_per_follower,share_per_follower,comment_per_follower,engagement_total,engagement_per_follower,usable_for_topic_classification,needs_topic_label,special_reaction_total,positive_reaction_total,negative_reaction_total,love_ratio,haha_ratio,wow_ratio,sad_ratio,angry_ratio,care_ratio,approval_index,outrage_index,amusement_index,empathy_index,polarity_score,usable_for_reaction_analysis,usable_for_engagement_analysis,exclude_reason,quality_note
teamcrawl_v1,REC_000001,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,0,pfbid02RGwhe337oqCbW2gi1tB4rJ9sLV7CYcbJRFThk37ac33ht84WyLJgyKD4q4TPm3YMl,https://www.facebook.com/thongtinchinhphu/posts/pfbid02RGwhe337oqCbW2gi1tB4rJ9sLV7CYcbJRFThk37ac33ht84WyLJgyKD4q4TPm3YMl,62451d34ddce5441,post_id:pfbid02RGwhe337oqCbW2gi1tB4rJ9sLV7CYcbJRFThk37ac33ht84WyLJgyKD4q4TPm3YMl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,Tiếp tục yêu cầu các ngân hàng thương mại thực hiện nghiêm chủ trương giảm lãi suất huy động và cho vay,103,22,,,unlabeled,none,,,,,0,5614,163,47,9,7,3,15,,5858,5858,1.0,1,1,full,4,380,1,1,1,Today at 2:12 AM,1779527520,2026-05-23 02:12:00,2026-05-23,16,Saturday,feed_text,ok,1,1779604929,1779604929,2026-05-23 23:42:09,2026-05-23 23:42:09,1,0.0006231915,4.255e-07,4.04255e-05,6242,0.0006640426,1,1,244,178,10,0.027825,0.008023,0.001536,0.001195,0.000512,0.002561,0.027825,0.000512,0.008023,0.003756,0.028679,1,1,,
teamcrawl_v1,REC_000002,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,1,pfbid035mJpz1DNT6kNvwBGaVuPwE6eYrVm8jCFY2awXcDJWxa9amLSHUrzY37oq7FgvBvXl,https://www.facebook.com/thongtinchinhphu/posts/pfbid035mJpz1DNT6kNvwBGaVuPwE6eYrVm8jCFY2awXcDJWxa9amLSHUrzY37oq7FgvBvXl,5122c9d2f439ef2a,post_id:pfbid035mJpz1DNT6kNvwBGaVuPwE6eYrVm8jCFY2awXcDJWxa9amLSHUrzY37oq7FgvBvXl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,"Cần tuyển 379 Bác sĩ, Điều dưỡng, Dược sĩ, Dược, Hộ sinh, Kỹ thuật y, Kế toán, Công tác xã hội... cho Bệnh viện Đa khoa Đồng Tháp",129,28,,,unlabeled,none,,,,,0,12856,438,34,50,0,0,33,,13411,13411,1.0,1,1,full,2,490,1,1,1,Yesterday at 6:32 PM,1779456720,2026-05-22 06:32:00,2026-05-22,20,Friday,feed_text,ok,1,1779604950,1779604950,2026-05-23 23:42:30,2026-05-23 23:42:30,1,0.0014267021,2.128e-07,5.21277e-05,13903,0.0014790426,1,1,555,471,0,0.03266,0.002535,0.003728,0.0,0.0,0.002461,0.03266,0.0,0.002535,0.002461,0.03512,1,1,,
teamcrawl_v1,REC_000003,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,2,pfbid02VuGpdE4Uen8a1tmjo7iyxcTtiM87kmCvZsbUc3GjGmxW6gDtYvLE5c3ecp2qcEXUl,https://www.facebook.com/thongtinchinhphu/posts/pfbid02VuGpdE4Uen8a1tmjo7iyxcTtiM87kmCvZsbUc3GjGmxW6gDtYvLE5c3ecp2qcEXUl,fe3d1306afe9574e,post_id:pfbid02VuGpdE4Uen8a1tmjo7iyxcTtiM87kmCvZsbUc3GjGmxW6gDtYvLE5c3ecp2qcEXUl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,"BẮT QUẢ TANG CÁN BỘ THUẾ LẠM DỤNG CHỨC VỤ, QUYỀN HẠN NHẬN TIỀN CỦA DOANH NGHIỆP TẠM GIAM NGAY",93,20,,,unlabeled,none,,,,,0,35000,491,5300,229,87,86,55,,41248,41248,1.0,1,1,full,4,455,1,1,1,Yesterday at 6:13 PM,1779455580,2026-05-22 06:13:00,2026-05-22,20,Friday,feed_text,ok,1,1779604960,1779604960,2026-05-23 23:42:40,2026-05-23 23:42:40,1,0.0043880851,4.255e-07,4.84043e-05,41707,0.0044369149,1,1,6248,546,173,0.011904,0.128491,0.005552,0.002109,0.002085,0.001333,0.011904,0.002085,0.128491,0.003443,0.009043,1,1,,
teamcrawl_v1,REC_000004,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,3,pfbid032or8Yae757cAyd9zQaSe24d4FUcz6d2SbbGwYFQN8LfFVUVzXrKWwsqjjiXboCzYl,https://www.facebook.com/thongtinchinhphu/posts/pfbid032or8Yae757cAyd9zQaSe24d4FUcz6d2SbbGwYFQN8LfFVUVzXrKWwsqjjiXboCzYl,4a5c71d4d343414f,post_id:pfbid032or8Yae757cAyd9zQaSe24d4FUcz6d2SbbGwYFQN8LfFVUVzXrKWwsqjjiXboCzYl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,"Từ vụ việc 1 nạn nhân tử vong do ngộ độc Xyanua, Công an TP Hồ Chí Minh đã triệt phá đường dây mua bán trái phép chất độc Xyanua xuyên biên giới với quy mô đặc biệt lớn. Khởi tố 35 đối tượng, thu giữ 1,3 tấn Xyanua!",215,49,,,unlabeled,none,,,,,0,14157,370,6,199,33,21,29,,14815,14815,1.0,1,1,full,111,281,1,1,1,Yesterday at 5:22 PM,1779452520,2026-05-22 05:22:00,2026-05-22,19,Friday,feed_text,ok,1,1779604971,1779604971,2026-05-23 23:42:51,2026-05-23 23:42:51,1,0.0015760638,1.18085e-05,2.98936e-05,15207,0.001617766,1,1,658,399,54,0.024975,0.000405,0.013432,0.002227,0.001417,0.001957,0.024975,0.001417,0.000405,0.004185,0.023287,1,1,,
teamcrawl_v1,REC_000005,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,4,pfbid02DY23rQGKRVsYX3aBte3tBCMtvKGpiEjKxkn8RsnVwVA2ejRV1VaTnKp8cmU3KXajl,https://www.facebook.com/thongtinchinhphu/posts/pfbid02DY23rQGKRVsYX3aBte3tBCMtvKGpiEjKxkn8RsnVwVA2ejRV1VaTnKp8cmU3KXajl,434db35f513f801c,post_id:pfbid02DY23rQGKRVsYX3aBte3tBCMtvKGpiEjKxkn8RsnVwVA2ejRV1VaTnKp8cmU3KXajl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,"Tạm giữ lô hàng ổ cứng mang nhãn hiệu Seagate trị giá khai báo hơn 3,5 tỷ đồng do có dấu hiệu vi phạm quyền sở hữu trí tuệ. Phục vụ xác minh và xử lý theo quy định!",164,39,,,unlabeled,none,,,,,0,8271,277,83,132,19,4,11,,8797,8797,1.0,1,1,full,4,262,1,1,1,Yesterday at 5:02 PM,1779451320,2026-05-22 05:02:00,2026-05-22,19,Friday,feed_text,ok,1,1779604981,1779604981,2026-05-23 23:43:01,2026-05-23 23:43:01,1,0.0009358511,4.255e-07,2.78723e-05,9063,0.0009641489,1,1,526,288,23,0.031488,0.009435,0.015005,0.00216,0.000455,0.00125,0.031488,0.000455,0.009435,0.00341,0.030124,1,1,,
teamcrawl_v1,REC_000006,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,5,pfbid02NTnRjFTpphzHtxCqAiRmZsApSW1rXVC4v4KWttRhmCDrbrBsqi5FZRw241yrmBJol,https://www.facebook.com/thongtinchinhphu/posts/pfbid02NTnRjFTpphzHtxCqAiRmZsApSW1rXVC4v4KWttRhmCDrbrBsqi5FZRw241yrmBJol,3cf55ae6d2874c62,post_id:pfbid02NTnRjFTpphzHtxCqAiRmZsApSW1rXVC4v4KWttRhmCDrbrBsqi5FZRw241yrmBJol,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,Khởi tố 11 đối tượng có hành vi lừa đảo chiếm đoạt tài sản qua hình thức livestream “đổ thạch” trên Youtube,107,22,,,unlabeled,none,,,,,0,13000,181,1900,36,4,6,24,,15151,15151,1.0,1,1,full,217,456,1,1,1,Yesterday at 4:02 PM,1779447720,2026-05-22 04:02:00,2026-05-22,18,Friday,feed_text,ok,1,1779604991,1779604991,2026-05-23 23:43:11,2026-05-23 23:43:11,1,0.0016118085,2.30851e-05,4.85106e-05,15824,0.0016834043,1,1,2151,205,10,0.011946,0.125404,0.002376,0.000264,0.000396,0.001584,0.011946,0.000396,0.125404,0.001848,0.01287,1,1,,
teamcrawl_v1,REC_000007,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,6,pfbid01FRYXDX3F9BWy1nwrvQzNJigbXKGZMq2edmsczttZ9NWjHdYhwL2JM12BaRHs7Arl,https://www.facebook.com/thongtinchinhphu/posts/pfbid01FRYXDX3F9BWy1nwrvQzNJigbXKGZMq2edmsczttZ9NWjHdYhwL2JM12BaRHs7Arl,1bb95e713d91a928,post_id:pfbid01FRYXDX3F9BWy1nwrvQzNJigbXKGZMq2edmsczttZ9NWjHdYhwL2JM12BaRHs7Arl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,Chính thức triển khai thanh toán QR xuyên biên giới (tại hơn 50 quốc gia và vùng lãnh thổ) trên ứng dụng của Vietcombank,120,24,,,unlabeled,none,,,,,0,17000,1200,19,97,2,4,90,,18412,18412,1.0,1,1,full,1100,1100,1,1,1,Yesterday at 10:31 AM,1779471060,2026-05-22 10:31:00,2026-05-23,0,Saturday,feed_text,ok,1,1779605021,1779605021,2026-05-23 23:43:41,2026-05-23 23:43:41,1,0.0019587234,0.0001170213,0.0001170213,20612,0.002192766,1,1,1412,1290,6,0.065175,0.001032,0.005268,0.000109,0.000217,0.004888,0.065175,0.000217,0.001032,0.004997,0.069737,1,1,,
teamcrawl_v1,REC_000008,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,7,670744189467522,https://www.facebook.com/reel/670744189467522,51d1aa18519e49ab,post_id:670744189467522,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,reel,,"Nhiều người vì tin bạn bè, người quen hoặc ham tiền công cao mà nhận “xách hộ”, “ship hộ” hàng hóa không rõ nguồn gốc. Nhưng khi bị phát hiện, cái giá phải trả không chỉ là án tù… mà còn là tương lai, gia đình và cả cuộc đời phía trước. Đừng nghĩ “xách hộ, ship hộ” là vô can. Một phút chủ quan có thể đánh đổi bằng cả cuộc đời. Theo Luật số 86/2025/QH15 sửa đổi, bổ sung một số điều của Bộ luật Hình sự, tội vận chuyển trái phép chất ma túy có thể bị phạt tù từ 3 năm đến chung thân. ----- Video minh họa nhằm mục đích tuyên truyền pháp luật",542,119,,,unlabeled,none,,,,,0,21000,274,2000,33,23,5,22,,23357,23357,1.0,1,1,full,1300000,1700,1,1,1,Yesterday at 6:13 AM,1779455580,2026-05-22 06:13:00,2026-05-22,20,Friday,feed_text,ok,1,1779605067,1779605067,2026-05-23 23:44:27,2026-05-23 23:44:27,1,0.0024847872,0.1382978723,0.0001808511,1325057,0.1409635106,1,1,2357,296,28,0.011731,0.085627,0.001413,0.000985,0.000214,0.000942,0.011731,0.000214,0.085627,0.001927,0.011474,1,1,,
teamcrawl_v1,REC_000009,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,8,pfbid0U4FNwqKWHFxtPL6xepc1e9uCumAS1jH6n55KQtCZcWoKhazqtpwhVgBSHMtyeodSl,https://www.facebook.com/thongtinchinhphu/posts/pfbid0U4FNwqKWHFxtPL6xepc1e9uCumAS1jH6n55KQtCZcWoKhazqtpwhVgBSHMtyeodSl,9145264de9fc7aed,post_id:pfbid0U4FNwqKWHFxtPL6xepc1e9uCumAS1jH6n55KQtCZcWoKhazqtpwhVgBSHMtyeodSl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,Khởi tố vụ sản xuất gần 11.000 hũ yến sào giả,45,11,,,unlabeled,none,,,,,0,10018,101,43,105,59,107,8,,10441,10441,1.0,1,1,full,671,671,1,1,1,Yesterday at 5:19 AM,1779452340,2026-05-22 05:19:00,2026-05-22,19,Friday,feed_text,ok,1,1779605102,1779605102,2026-05-23 23:45:02,2026-05-23 23:45:02,1,0.0011107447,7.1383e-05,7.1383e-05,11783,0.0012535106,1,1,423,109,166,0.009673,0.004118,0.010057,0.005651,0.010248,0.000766,0.009673,0.010248,0.004118,0.006417,-0.005459,1,1,,
teamcrawl_v1,REC_000010,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/json-nhung-daibieunhandan-v9-3-2/posts_Dai_bieu_Nhan_dan.json,posts_Dai_bieu_Nhan_dan.json,0,pfbid0ARw7P8XRVRgYGWPxYqRvZUtnsDETLrifF2FFZpjnmZcrVvD4UQ5QmrtVAETdq3Q5l,https://www.facebook.com/daibieunhandan.vn/posts/pfbid0ARw7P8XRVRgYGWPxYqRvZUtnsDETLrifF2FFZpjnmZcrVvD4UQ5QmrtVAETdq3Q5l,5a33000b5c6cee5a,post_id:pfbid0ARw7P8XRVRgYGWPxYqRvZUtnsDETLrifF2FFZpjnmZcrVvD4UQ5QmrtVAETdq3Q5l,Đại biểu Nhân dân,daibieunhandan.vn,https://www.facebook.com/daibieunhandan.vn,207000,207000,1,post,,"Chủ tịch Quốc hội Trần Thanh Mẫn: Giám sát sắc bén, không để kiến nghị “rơi vào im lặng”",88,19,,,unlabeled,none,,,,,0,96,6,7,0,0,0,0,,109,109,1.0,1,1,full,10,0,1,1,1,Monday 25 May 2026 at 18:41,1779709260,2026-05-25 18:41:00,2026-05-25,18,Monday,feed_hover,ok,1,1779733442,1779733442,2026-05-26 01:24:02,2026-05-26 01:24:02,1,0.00052657,4.83092e-05,0.0,119,0.0005748792,1,1,13,6,0,0.055046,0.06422,0.0,0.0,0.0,0.0,0.055046,0.0,0.06422,0.0,0.055046,1,1,,
