topic_label_id,topic_label_final,count_in_master_labeled,count_in_model_dataset,count_in_streamlit_enriched,uncertain_count,excluded_count
T01,T01. POLITICS,621,621,621,4,0
T02,T02. ECONOMY_BUSINESS_AND_FINANCE,713,713,713,1,0
T03,T03. CRIME_LAW_AND_JUSTICE,1635,1635,1635,4,0
T04,T04. HEALTH,348,348,348,2,0
T05,T05. EDUCATION,203,203,203,0,0
T06,T06. SCIENCE_AND_TECHNOLOGY,194,194,194,3,0
T07,T07. ENVIRONMENT,82,82,82,1,0
T08,T08. WEATHER,151,151,151,0,0
T09,T09. DISASTER_ACCIDENT_AND_EMERGENCY_INCIDENT,401,401,401,0,0
T10,T10. ARTS_CULTURE_ENTERTAINMENT_AND_MEDIA,1875,1875,1875,5,0
T11,T11. SPORT,291,291,291,0,0
T12,T12. SOCIETY,215,215,215,3,0
T13,T13. HUMAN_INTEREST,1131,1131,1131,11,0
T14,T14. LABOR,103,103,103,1,0
T15,T15. LIFESTYLE_AND_LEISURE,172,172,172,2,0
T16,T16. WORLD_INTERNATIONAL,468,468,468,0,0
T17,T17. TRANSPORT_INFRASTRUCTURE,319,319,319,0,0
T18,T18. OTHER_UNCLEAR,280,0,0,8,0
