issue_type,record_id,topic_label_id_candidates,topic_label_final_candidates,label_file_source,details
missing_topic_label,REC_004211,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_012815,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_012548,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_012655,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_012998,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013133,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013254,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_012708,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013028,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013374,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013093,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013127,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013169,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013390,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_012412,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_012400,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_013208,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
missing_topic_label,REC_012792,,,data/05_Labeling/Final_Labeled/[DS107] Gán nhãn - Han.csv,Label row is missing both topic_label_final and topic_label_id.
