metric,count,percentage
total_master_rows,11786,100.0
labeled_rows,9202,78.0757
unlabeled_rows,2584,21.9243
valid_topic_label_rows,9202,78.0757
excluded_rows,0,0.0
uncertain_rows,45,0.3818
master_usable_for_topic_classification_rows_including_t18,9202,78.0757
usable_for_topic_classification_rows,8922,75.7
usable_for_reaction_analysis_rows,8008,67.945
usable_for_engagement_analysis_rows,7985,67.7499
usable_for_engagement_analysis_strict_rows,7985,67.7499
metadata_outlier_rows,38,0.3224
has_page_followers_rows,11786,100.0
missing_page_followers_rows,0,0.0
has_reaction_total_rows,11786,100.0
has_reaction_details_rows,11786,100.0
reaction_sum_mismatch_rows,1945,16.5026
has_share_count_rows,11786,100.0
has_comment_count_rows,11786,100.0
has_post_created_time_rows,8560,72.6285
timestamp_ok_rows,8560,72.6285
timestamp_missing_rows,3226,27.3715
timestamp_invalid_rows,0,0.0
pilot_exclude_from_test_rows,600,5.0908
t18_rows_in_master,280,2.3757
t18_excluded_rows,0,0.0
t18_removed_from_model_dataset,280,2.3757
t18_removed_from_streamlit_enriched,280,2.3757
