record_id,page_name,post_url,caption,column_name,value,total_reactions,comment_count,share_count,page_followers,engagement_total,engagement_per_follower,reason
REC_003600,Tin tức VTV24,https://www.facebook.com/reel/1683446546131420,"Từ loại trái cây từng có giá cao, sầu riêng đang trở thành nỗi lo của nhiều nhà vườn khi giá bán xuống thấp. Tình trạng này cũng đặt ra bài học về phát triển diện tích tự phát và nguy cơ vượt cung với nông sản.",comment_count,100000.0,29082,100000,1300,10000000,130382,0.0130382,comment_count >= 100000
REC_003731,Tin tức VTV24,https://www.facebook.com/reel/1710894580089866,"Việc điều chỉnh ngưỡng doanh thu chịu thuế lên 1 tỷ đồng đang nhận được sự đồng thuận từ các cá nhân, hộ kinh doanh, khi được kỳ vọng giúp giảm áp lực chi phí và phản ánh sát hơn thu nhập thực tế.",comment_count,1000000.0,11329,1000000,452,10000000,1011781,0.1011781,comment_count >= 100000
REC_004354,YAN News,https://www.facebook.com/yannews/posts/pfbid0uCy2mAPtzkEvJDN8QzAAKz5nfUPCpLMdqgjbnicA98XbAD8zgv8CafL168zwHi9el,"Cô gái Nga làm việc tại Việt Nam yêu chàng trai Việt Nam làm việc tại Ukraine, sau đó cả 2 đã quyết định về Việt Nam sinh sống",comment_count,2018000.0,1029,2018000,6,21000000,2019035,0.0961445238095238,comment_count >= 100000
REC_004470,YAN News,https://www.facebook.com/reel/1502228057916384,Trạng thái đối lập của mẹ vợ - mẹ ruột của Tôn Bằng trên bàn ăn: Phụ huynh của vợ bị nhận nhầm thành bảo mẫu,comment_count,2000000.0,1220,2000000,7,21000000,2001227,0.0952965238095238,comment_count >= 100000
REC_004573,YAN News,https://www.facebook.com/reel/4474657849481237,Nữ tóp tóp cơ makeup giữa sân banh gây tranh cãi,comment_count,1000000.0,735,1000000,8,21000000,1000743,0.04765442857142857,comment_count >= 100000
REC_004588,YAN News,https://www.facebook.com/reel/1171476698410473,Quán ăn nổi tiếng miền Tây gây tranh cãi vì giá cao,comment_count,400000.0,120,400000,6,21000000,400126,0.01905361904761905,comment_count >= 100000
REC_004621,YAN News,https://www.facebook.com/reel/935843632608095,CĐM rộ nghi vấn Khả Như đang mang bầu được 3 tháng,comment_count,3000000.0,11367,3000000,21,21000000,3011388,0.14339942857142857,comment_count >= 100000
REC_004648,YAN News,https://www.facebook.com/yannews/posts/pfbid02teK3qLq7ymf7MMdN4rF7dgLraAwLGdD1ypmVn9YWmXMi7PhumvzQmrq4uGuwhdkEl,Tin vui cho bé trai 2 tuổi bị baohanh: Em đã xuất viện và được bảo vệ an toàn,comment_count,2000000.0,436,2000000,4,21000000,2000440,0.09525904761904762,comment_count >= 100000
REC_005005,YAN News,https://www.facebook.com/reel/1879499249420448,"Bạn thân CiiN ăn 500K ở Dubai, CĐM thấy khắc khổ",comment_count,1000000.0,336,1000000,3,21000000,1000339,0.04763519047619048,comment_count >= 100000
REC_005101,YAN News,https://www.facebook.com/reel/1768395097287071,"Gái Thái sốc khi quen hồng hài nhi Việt bên ngoài điển trai bên trong ""ở dơ""",comment_count,1000000.0,372,1000000,7,21000000,1000379,0.047637095238095235,comment_count >= 100000
REC_005355,CafeBiz,https://www.facebook.com/reel/1906746597380417,Các bác ra giá mấy triệu/m?,comment_count,1000000.0,240,1000000,1,1900000,1000241,0.5264426315789473,comment_count >= 100000
REC_005904,CafeBiz,https://www.facebook.com/cafebiz.vn/posts/pfbid02SduPiGdUYEPHq25wpw6n5FUUwhHxTqJjwbDdU1mUMTbZmXtXPZWijMsK79aLp5sdl,Elon Musk tiết lộ chấn động: Giấc mơ đưa 1 triệu người lên Sao Hỏa của ông được nuôi bằng nghề bán wifi,comment_count,1000000.0,85,1000000,2,1900000,1000087,0.5263615789473685,comment_count >= 100000
REC_006297,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid0mWWybbbdBFxDBmVm81NQF36p4kNtv4UpWubykTktQVB13sV4JBJFqN87G9bsGGzDl,"NHANH CHÓNG BẮT GIỮ ĐỐI TƯỢNG DÙNG ĐE DOẠ HAI VỢ CHỒNG TẠI BẾN CHỜ XE BUÝT, ÉP TRẢ THÊM TIỀN XE ÔM --- Trước đó, tối qua, mạng xã hội lan truyền video ghi lại cảnh một đối tượng dùng đe dọa, ép hai vợ chồng trả 700.000 đồng tiền xe ôm khi đi từ bến xe Mỹ Đình đến khu vực bến Bầu, xã Thiên Lộc, TP Hà Nội. Xác định TÍNH CHẤT NGHIÊM TRỌNG của sự việc, Giám đốc CATP đã chỉ đạo các đơn vị nghiệp vụ khẩn trương điều tra, xác minh, làm rõ đối tượng để xử lý theo quy định pháp luật. Đến 9h30' ngày 8/5/2026, Phòng Cảnh sát hình sự phối hợp Công an xã Thiên Lộc đã bắt giữ được đối tượng gây ra vụ việc Nguyễn Lê Khôi (SN 1996; trú tại; xã Triệu Việt Vương, tỉnh Hưng Yên). Bước đầu xác định, khoảng 18h30' ngày 7/5/2026, chị T (SN 1996; trú tại: tỉnh Lai Châu) cùng chồng đến Bến xe Mỹ Đình để bắt xe về Lai Châu. Khi đến khu vực cổng Bến xe Mỹ Đình, vợ chồng chị T đi xe ôm sang bến Bầu, xã Thiên Lộc để bắt xe khách về Lai Châu. Khi đến bến Bầu mặc dù chị T đã thanh toán 500.000 đồng tiền xe ôm của cả 2 vợ chồng nhưng Khôi không đồng ý mà đòi trả thêm 200.000 đồng. Vợ chồng chị T không đưa tiền thì Khôi lấy dí vào cổ chồng chị T đe doạ. Do hoảng sợ nên chị T đã đưa 200.000 đồng cho đối tượng. Theo hồ sơ, Nguyễn Lê Khôi từng có 1 tiền án về tội Tàng trữ trái phép chất ma tuý. Hiện, Phòng Cảnh sát hình sự Công an Thành phố đang khẩn trương điều tra, củng cố hồ sơ để xử lý Khôi và những người liên quan đến vụ việc theo quy định pháp luật. Theo: Thông tin Chính Phủ",comment_count,200000.0,144,200000,2,1200000,200146,0.16678833333333334,comment_count >= 100000
REC_006301,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid02iBDP8RBGh64ZqujD2BwLih4eFHNqZwLme8VbQuBRShnqeEGDpYHXwaKy5ft27HVBl,Hàng loạt ngành học được miễn 100% học phí năm 2026,comment_count,2026000.0,799,2026000,12,1200000,2026811,1.6890091666666667,comment_count >= 100000
REC_006616,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid02sRKuKKAv4RHcFFb9p9fzhos5NzzKdhgtW4raLbHTPnV4uaauEF3a263fnntE5i6ql,"Tổng Bí thư, Chủ tịch nước Tô Lâm dâng hương tưởng niệm các Vua Hùng Sáng 26/4 (mùng 10/3 Âm lịch), Tổng Bí thư, Chủ tịch nước Tô Lâm cùng các lãnh đạo, nguyên lãnh đạo Đảng nhà nước khởi hành lên núi Nghĩa Lĩnh để dâng hương tưởng niệm các Vua Hùng. Theo: TTXVN",comment_count,4000000.0,1200,4000000,2,1200000,4001202,3.334335,comment_count >= 100000
