master_schema_version,record_id,crawler_owner,raw_schema_type,raw_file_path,raw_file_name,raw_record_index,post_id,post_url,content_hash,dedup_key,page_name,page_handle,page_url,page_followers,page_followers_raw,has_page_followers,post_type,external_url,post_content_for_labeling,post_content_length,word_count,topic_label_final,topic_label_id,label_status,label_source,annotator_1,annotator_2,annotation_round,annotation_note,is_uncertain_label,like_count,love_count,haha_count,wow_count,sad_count,angry_count,care_count,sorry_count,total_reactions,reaction_detail_sum,reaction_detail_coverage_ratio,has_reaction_total,has_reaction_details,reaction_details_status,share_count,comment_count,has_share_count,has_comment_count,has_engagement_basic,post_created_time_raw,post_created_time_unix,post_created_time_human,post_created_date,post_created_hour,post_created_weekday,timestamp_source,timestamp_status,has_post_created_time,crawl_time_raw,crawl_time_unix,crawl_time_human,metadata_observed_at,has_crawl_time,reaction_per_follower,share_per_follower,comment_per_follower,engagement_total,engagement_per_follower,usable_for_topic_classification,needs_topic_label,special_reaction_total,positive_reaction_total,negative_reaction_total,love_ratio,haha_ratio,wow_ratio,sad_ratio,angry_ratio,care_ratio,approval_index,outrage_index,amusement_index,empathy_index,polarity_score,usable_for_reaction_analysis,usable_for_engagement_analysis,exclude_reason,quality_note,has_metadata_outlier,metadata_outlier_reason,usable_for_engagement_analysis_strict
teamcrawl_v1,REC_000001,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,0,pfbid02RGwhe337oqCbW2gi1tB4rJ9sLV7CYcbJRFThk37ac33ht84WyLJgyKD4q4TPm3YMl,https://www.facebook.com/thongtinchinhphu/posts/pfbid02RGwhe337oqCbW2gi1tB4rJ9sLV7CYcbJRFThk37ac33ht84WyLJgyKD4q4TPm3YMl,62451d34ddce5441,post_id:pfbid02RGwhe337oqCbW2gi1tB4rJ9sLV7CYcbJRFThk37ac33ht84WyLJgyKD4q4TPm3YMl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,tiếp tục yêu cầu các ngân hàng thương mại thực hiện nghiêm chủ trương giảm lãi suất huy động và cho vay,103,22,T02. ECONOMY_BUSINESS_AND_FINANCE,T02,human_verified,manual_adjudicated,Han; Nhung; Yen,,pilot_400_final,,0.0,5614,163,47,9,7,3,15,0.0,5858,5858.0,1.0,1,1,ok,4,380,1,1,1,Today at 2:12 AM,1779527520.0,2026-05-23 09:12:00,2026-05-23,9.0,Saturday,post_created_time_unix,ok,1,1779604929,1779604929,2026-05-23 23:42:09,2026-05-23 23:42:09,1,0.0006231914893617,4.25531914893617e-07,4.0425531914893614e-05,6242,0.0006640425531914,1,0,244,178,66,0.0278251963127347,0.0080232161147149,0.0015363605326049,0.0011949470809149,0.0005121201775349,0.0025606008876749,0.9861727552065552,0.0005121201775349,0.0080232161147149,0.0037555479685899,0.0416524411061795,1,1,,pilot_or_calibration_sample_exclude_from_test,0,,1
teamcrawl_v1,REC_000002,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,1,pfbid035mJpz1DNT6kNvwBGaVuPwE6eYrVm8jCFY2awXcDJWxa9amLSHUrzY37oq7FgvBvXl,https://www.facebook.com/thongtinchinhphu/posts/pfbid035mJpz1DNT6kNvwBGaVuPwE6eYrVm8jCFY2awXcDJWxa9amLSHUrzY37oq7FgvBvXl,5122c9d2f439ef2a,post_id:pfbid035mJpz1DNT6kNvwBGaVuPwE6eYrVm8jCFY2awXcDJWxa9amLSHUrzY37oq7FgvBvXl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,"cần tuyển 379 bác sĩ, điều dưỡng, dược sĩ, dược, hộ sinh, kỹ thuật y, kế toán, công tác xã hội... cho bệnh viện đa khoa đồng tháp",129,28,T14. LABOR,T14,human_labeled,manual,Yen,,final_full,,0.0,12856,438,34,50,0,0,33,0.0,13411,13411.0,1.0,1,1,ok,2,490,1,1,1,Yesterday at 6:32 PM,1779456720.0,2026-05-22 13:32:00,2026-05-22,13.0,Friday,post_created_time_unix,ok,1,1779604950,1779604950,2026-05-23 23:42:30,2026-05-23 23:42:30,1,0.0014267021276595,2.127659574468085e-07,5.2127659574468086e-05,13903,0.0014790425531914,1,0,555,471,84,0.0326597569159645,0.0025352322720155,0.0037282827529639,0.0,0.0,0.0024606666169562,0.9912758183580642,0.0,0.0025352322720155,0.0024606666169562,0.0413839385579002,1,1,,,0,,1
teamcrawl_v1,REC_000003,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,2,pfbid02VuGpdE4Uen8a1tmjo7iyxcTtiM87kmCvZsbUc3GjGmxW6gDtYvLE5c3ecp2qcEXUl,https://www.facebook.com/thongtinchinhphu/posts/pfbid02VuGpdE4Uen8a1tmjo7iyxcTtiM87kmCvZsbUc3GjGmxW6gDtYvLE5c3ecp2qcEXUl,fe3d1306afe9574e,post_id:pfbid02VuGpdE4Uen8a1tmjo7iyxcTtiM87kmCvZsbUc3GjGmxW6gDtYvLE5c3ecp2qcEXUl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,"bắt quả tang cán bộ thuế lạm dụng chức vụ, quyền hạn nhận tiền của doanh nghiệp tạm giam ngay",93,20,T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,Yen,,final_full,,0.0,35000,491,5300,229,87,86,55,0.0,41248,41248.0,1.0,1,1,ok,4,455,1,1,1,Yesterday at 6:13 PM,1779455580.0,2026-05-22 13:13:00,2026-05-22,13.0,Friday,post_created_time_unix,ok,1,1779604960,1779604960,2026-05-23 23:42:40,2026-05-23 23:42:40,1,0.0043880851063829,4.25531914893617e-07,4.840425531914893e-05,41707,0.004436914893617,1,0,6248,546,5702,0.0119036074476338,0.1284910783553142,0.0055517843289371,0.0021091931730023,0.0020849495733126,0.0013333979829325,0.8604295965865012,0.0020849495733126,0.1284910783553142,0.0034425911559348,-0.1514740108611326,1,1,,,0,,1
teamcrawl_v1,REC_000004,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,3,pfbid032or8Yae757cAyd9zQaSe24d4FUcz6d2SbbGwYFQN8LfFVUVzXrKWwsqjjiXboCzYl,https://www.facebook.com/thongtinchinhphu/posts/pfbid032or8Yae757cAyd9zQaSe24d4FUcz6d2SbbGwYFQN8LfFVUVzXrKWwsqjjiXboCzYl,4a5c71d4d343414f,post_id:pfbid032or8Yae757cAyd9zQaSe24d4FUcz6d2SbbGwYFQN8LfFVUVzXrKWwsqjjiXboCzYl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,"từ vụ việc 1 nạn nhân tử vong do ngộ độc xyanua, công an tp hồ chí minh đã triệt phá đường dây mua bán trái phép chất độc xyanua xuyên biên giới với quy mô đặc biệt lớn. khởi tố 35 đối tượng, thu giữ 1,3 tấn xyanua!",215,49,T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,Yen,,final_full,,0.0,14157,370,6,199,33,21,29,0.0,14815,14815.0,1.0,1,1,ok,111,281,1,1,1,Yesterday at 5:22 PM,1779452520.0,2026-05-22 12:22:00,2026-05-22,12.0,Friday,post_created_time_unix,ok,1,1779604971,1779604971,2026-05-23 23:42:51,2026-05-23 23:42:51,1,0.0015760638297872,1.1808510638297872e-05,2.9893617021276595e-05,15207,0.0016177659574468,1,0,658,399,259,0.0249746878164022,0.0004049949375632,0.0134323320958488,0.002227472156598,0.0014174822814714,0.0019574755315558,0.9805602429969624,0.0014174822814714,0.0004049949375632,0.0041849476881538,0.0444144448194397,1,1,,,0,,1
teamcrawl_v1,REC_000005,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,4,pfbid02DY23rQGKRVsYX3aBte3tBCMtvKGpiEjKxkn8RsnVwVA2ejRV1VaTnKp8cmU3KXajl,https://www.facebook.com/thongtinchinhphu/posts/pfbid02DY23rQGKRVsYX3aBte3tBCMtvKGpiEjKxkn8RsnVwVA2ejRV1VaTnKp8cmU3KXajl,434db35f513f801c,post_id:pfbid02DY23rQGKRVsYX3aBte3tBCMtvKGpiEjKxkn8RsnVwVA2ejRV1VaTnKp8cmU3KXajl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,"tạm giữ lô hàng ổ cứng mang nhãn hiệu seagate trị giá khai báo hơn 3,5 tỷ đồng do có dấu hiệu vi phạm quyền sở hữu trí tuệ. phục vụ xác minh và xử lý theo quy định!",164,39,T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,Yen,,final_full,,0.0,8271,277,83,132,19,4,11,0.0,8797,8797.0,1.0,1,1,ok,4,262,1,1,1,Yesterday at 5:02 PM,1779451320.0,2026-05-22 12:02:00,2026-05-22,12.0,Friday,post_created_time_unix,ok,1,1779604981,1779604981,2026-05-23 23:43:01,2026-05-23 23:43:01,1,0.0009358510638297,4.25531914893617e-07,2.7872340425531918e-05,9063,0.0009641489361702,1,0,526,288,238,0.0314880072752074,0.0094350346709105,0.0150051153802432,0.0021598272138228,0.0004547004660679,0.0012504262816869,0.9716948959872684,0.0004547004660679,0.0094350346709105,0.0034102534955098,0.059793111287939,1,1,,,0,,1
teamcrawl_v1,REC_000007,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,6,pfbid01FRYXDX3F9BWy1nwrvQzNJigbXKGZMq2edmsczttZ9NWjHdYhwL2JM12BaRHs7Arl,https://www.facebook.com/thongtinchinhphu/posts/pfbid01FRYXDX3F9BWy1nwrvQzNJigbXKGZMq2edmsczttZ9NWjHdYhwL2JM12BaRHs7Arl,1bb95e713d91a928,post_id:pfbid01FRYXDX3F9BWy1nwrvQzNJigbXKGZMq2edmsczttZ9NWjHdYhwL2JM12BaRHs7Arl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,chính thức triển khai thanh toán qr xuyên biên giới (tại hơn 50 quốc gia và vùng lãnh thổ) trên ứng dụng của vietcombank,120,24,T02. ECONOMY_BUSINESS_AND_FINANCE,T02,human_labeled,manual,Han,,final_full,,0.0,17000,1200,19,97,2,4,90,0.0,18412,18412.0,1.0,1,1,ok,1100,1100,1,1,1,Yesterday at 10:31 AM,1779471060.0,2026-05-22 17:31:00,2026-05-22,17.0,Friday,post_created_time_unix,ok,1,1779605021,1779605021,2026-05-23 23:43:41,2026-05-23 23:43:41,1,0.0019587234042553,0.0001170212765957,0.0001170212765957,20612,0.0021927659574468,1,0,1412,1290,122,0.0651748859439496,0.0010319356941125,0.0052683032804692,0.0001086248099065,0.0002172496198131,0.0048881164457962,0.9884857701499022,0.0002172496198131,0.0010319356941125,0.0049967412557028,0.0766891157940473,1,1,,,0,,1
teamcrawl_v1,REC_000008,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,7,670744189467522,https://www.facebook.com/reel/670744189467522,51d1aa18519e49ab,post_id:670744189467522,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,reel,,"nhiều người vì tin bạn bè, người quen hoặc ham tiền công cao mà nhận “xách hộ”, “ship hộ” hàng hóa không rõ nguồn gốc. nhưng khi bị phát hiện, cái giá phải trả không chỉ là án tù… mà còn là tương lai, gia đình và cả cuộc đời phía trước. đừng nghĩ “xách hộ, ship hộ” là vô can. một phút chủ quan có thể đánh đổi bằng cả cuộc đời. theo luật số 86/2025/qh15 sửa đổi, bổ sung một số điều của bộ luật hình sự, tội vận chuyển trái phép chất ma túy có thể bị phạt tù từ 3 năm đến chung thân. ----- video minh họa nhằm mục đích tuyên truyền pháp luật",542,119,T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,Han,,final_full,,0.0,21000,274,2000,33,23,5,22,0.0,23357,23357.0,1.0,1,1,ok,1300000,1700,1,1,1,Yesterday at 6:13 AM,1779455580.0,2026-05-22 13:13:00,2026-05-22,13.0,Friday,post_created_time_unix,ok,1,1779605067,1779605067,2026-05-23 23:44:27,2026-05-23 23:44:27,1,0.0024847872340425,0.1382978723404255,0.0001808510638297,1325057,0.1409635106382978,1,0,2357,296,2061,0.0117309585991351,0.0856274350301836,0.001412852677998,0.0009847155028471,0.0002140685875754,0.000941901785332,0.9108190264160636,0.0002140685875754,0.0856274350301836,0.0019266172881791,-0.1009119321830714,1,0,,,1,share_count >= 100000; share_count > total_reactions * 20 and share_count >= 10000,0
teamcrawl_v1,REC_000009,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/get_from_Nhung_legacy/posts_Thong_tin_Chinh_phu.json,posts_Thong_tin_Chinh_phu.json,8,pfbid0U4FNwqKWHFxtPL6xepc1e9uCumAS1jH6n55KQtCZcWoKhazqtpwhVgBSHMtyeodSl,https://www.facebook.com/thongtinchinhphu/posts/pfbid0U4FNwqKWHFxtPL6xepc1e9uCumAS1jH6n55KQtCZcWoKhazqtpwhVgBSHMtyeodSl,9145264de9fc7aed,post_id:pfbid0U4FNwqKWHFxtPL6xepc1e9uCumAS1jH6n55KQtCZcWoKhazqtpwhVgBSHMtyeodSl,Thông tin Chính phủ,thongtinchinhphu,https://www.facebook.com/thongtinchinhphu,9400000,9400000,1,post,,khởi tố vụ sản xuất gần 11.000 hũ yến sào giả,45,11,T03. CRIME_LAW_AND_JUSTICE,T03,human_labeled,manual,Nhung,,final_full,,0.0,10018,101,43,105,59,107,8,0.0,10441,10441.0,1.0,1,1,ok,671,671,1,1,1,Yesterday at 5:19 AM,1779452340.0,2026-05-22 12:19:00,2026-05-22,12.0,Friday,post_created_time_unix,ok,1,1779605102,1779605102,2026-05-23 23:45:02,2026-05-23 23:45:02,1,0.001110744680851,7.138297872340426e-05,7.138297872340426e-05,11783,0.0012535106382978,1,0,423,109,314,0.0096734029307537,0.0041183794655684,0.0100565079973182,0.0056507997318264,0.0102480605306005,0.000766210133129,0.9691600421415574,0.0102480605306005,0.0041183794655684,0.0064170098649554,-0.0405133607891964,1,1,,,0,,1
teamcrawl_v1,REC_000010,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/json-nhung-daibieunhandan-v9-3-2/posts_Dai_bieu_Nhan_dan.json,posts_Dai_bieu_Nhan_dan.json,0,pfbid0ARw7P8XRVRgYGWPxYqRvZUtnsDETLrifF2FFZpjnmZcrVvD4UQ5QmrtVAETdq3Q5l,https://www.facebook.com/daibieunhandan.vn/posts/pfbid0ARw7P8XRVRgYGWPxYqRvZUtnsDETLrifF2FFZpjnmZcrVvD4UQ5QmrtVAETdq3Q5l,5a33000b5c6cee5a,post_id:pfbid0ARw7P8XRVRgYGWPxYqRvZUtnsDETLrifF2FFZpjnmZcrVvD4UQ5QmrtVAETdq3Q5l,Đại biểu Nhân dân,daibieunhandan.vn,https://www.facebook.com/daibieunhandan.vn,207000,207000,1,post,,"chủ tịch quốc hội trần thanh mẫn: giám sát sắc bén, không để kiến nghị “rơi vào im lặng”",88,19,T01. POLITICS,T01,human_verified,manual_adjudicated,Han; Nhung; Yen,,pilot_400_final,,0.0,96,6,7,0,0,0,0,0.0,109,109.0,1.0,1,1,ok,10,0,1,1,1,Monday 25 May 2026 at 18:41,1779709260.0,2026-05-25 11:41:00,2026-05-25,11.0,Monday,post_created_time_unix,ok,1,1779733442,1779733442,2026-05-26 01:24:02,2026-05-26 01:24:02,1,0.0005265700483091,4.830917874396135e-05,0.0,119,0.0005748792270531,1,0,13,6,7,0.055045871559633,0.0642201834862385,0.0,0.0,0.0,0.0,0.9357798165137616,0.0,0.0642201834862385,0.0,-0.1192660550458715,1,1,,pilot_or_calibration_sample_exclude_from_test,0,,1
teamcrawl_v1,REC_000011,nhung,schema_5_new_timestamp,data/01_Raw_Data/02_Team_Crawled_Raw/Nhung/json-nhung-daibieunhandan-v9-3-2/posts_Dai_bieu_Nhan_dan.json,posts_Dai_bieu_Nhan_dan.json,1,pfbid02Ut5k1rGq9qbKaC3B5S6SF4KUKxdUroCb3KkdGJT39F27gu25ZJ3UfjFGwYMJRWEnl,https://www.facebook.com/daibieunhandan.vn/posts/pfbid02Ut5k1rGq9qbKaC3B5S6SF4KUKxdUroCb3KkdGJT39F27gu25ZJ3UfjFGwYMJRWEnl,0c33829966d3c6f6,post_id:pfbid02Ut5k1rGq9qbKaC3B5S6SF4KUKxdUroCb3KkdGJT39F27gu25ZJ3UfjFGwYMJRWEnl,Đại biểu Nhân dân,daibieunhandan.vn,https://www.facebook.com/daibieunhandan.vn,207000,207000,1,post,,"chủ tịch quốc hội trần thanh mẫn: ủy ban khoa học, công nghệ và môi trường không được phép đi sau thực tiễn",107,23,T01. POLITICS,T01,human_labeled,manual,Han,,final_full,,0.0,92,3,0,0,0,0,0,0.0,95,95.0,1.0,1,1,ok,13,0,1,1,1,Monday 25 May 2026 at 13:49,1779691740.0,2026-05-25 06:49:00,2026-05-25,6.0,Monday,post_created_time_unix,ok,1,1779733448,1779733448,2026-05-26 01:24:08,2026-05-26 01:24:08,1,0.0004589371980676,6.280193236714976e-05,0.0,108,0.0005217391304347,1,0,3,3,0,0.031578947368421,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.031578947368421,1,1,,,0,,1
