split,model_name,scenario,length_bucket,total_samples,wrong_predictions,error_rate
test,LinearSVC,01_Raw_Data,long,166,39,0.23493975903614459
test,LinearSVC,01_Raw_Data,medium,638,154,0.2413793103448276
test,LinearSVC,01_Raw_Data,short,34,9,0.2647058823529412
test,LogisticRegression,01_Raw_Data,long,166,38,0.2289156626506024
test,LogisticRegression,01_Raw_Data,medium,638,153,0.23981191222570533
test,LogisticRegression,01_Raw_Data,short,34,10,0.29411764705882354
test,RandomForest,05_Balanced,long,164,52,0.3170731707317073
test,RandomForest,05_Balanced,medium,637,182,0.2857142857142857
test,RandomForest,05_Balanced,short,37,10,0.2702702702702703
test,XGBoost,03_Full_Clean,long,164,47,0.2865853658536585
test,XGBoost,03_Full_Clean,medium,637,228,0.3579277864992151
test,XGBoost,03_Full_Clean,short,37,12,0.32432432432432434
val,LinearSVC,01_Raw_Data,long,168,54,0.32142857142857145
val,LinearSVC,01_Raw_Data,medium,646,168,0.26006191950464397
val,LinearSVC,01_Raw_Data,short,23,4,0.17391304347826086
val,LogisticRegression,01_Raw_Data,long,168,54,0.32142857142857145
val,LogisticRegression,01_Raw_Data,medium,646,174,0.2693498452012384
val,LogisticRegression,01_Raw_Data,short,23,2,0.08695652173913043
val,RandomForest,05_Balanced,long,166,67,0.4036144578313253
val,RandomForest,05_Balanced,medium,641,199,0.31045241809672386
val,RandomForest,05_Balanced,short,30,9,0.3
val,XGBoost,03_Full_Clean,long,166,63,0.3795180722891566
val,XGBoost,03_Full_Clean,medium,641,259,0.4040561622464899
val,XGBoost,03_Full_Clean,short,30,14,0.4666666666666667
