scenario,model_name,best_trial_id,best_validation_macro_f1,best_validation_weighted_f1,best_validation_accuracy,best_tfidf_params_json,best_model_params_json,best_effective_model_params_json,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,model_path,vectorizer_path,label_encoder_path
01_Raw_Data,LogisticRegression,29,0.6492228034107059,0.7244159299705369,0.7252090800477897,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 10.0, ""solver"": ""lbfgs""}","{""C"": 10.0, ""solver"": ""lbfgs""}",0.7601431980906921,0.7060537477857691,0.6978626797137023,0.6953520112626581,0.7577944724045558,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LogisticRegression/label_encoder.joblib
01_Raw_Data,LinearSVC,42,0.6455106868731967,0.7200920681999244,0.7299880525686977,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 2.0, ""class_weight"": null}","{""C"": 2.0, ""class_weight"": null}",0.7589498806682577,0.7200668641281994,0.6745112170052825,0.6866842653985191,0.7521593719678343,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LinearSVC/label_encoder.joblib
02_Basic_Clean,LinearSVC,42,0.6453179088603869,0.7209405422417219,0.7311827956989247,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 2.0, ""class_weight"": null}","{""C"": 2.0, ""class_weight"": null}",0.7577565632458234,0.7278494025378308,0.6799997064561649,0.6938407550075434,0.7520310866886457,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LinearSVC/label_encoder.joblib
04_No_Stopwords,LinearSVC,24,0.6451515048310992,0.7241593774941771,0.7264038231780168,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 3, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 2.0, ""class_weight"": ""balanced""}","{""C"": 2.0, ""class_weight"": ""balanced""}",0.7505966587112172,0.674553966046574,0.6654319653924807,0.6671879835126913,0.7480356751313956,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LinearSVC/label_encoder.joblib
05_Balanced,LogisticRegression,23,0.6407288758820262,0.7147082742458003,0.7204301075268817,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 5.0, ""solver"": ""lbfgs""}","{""C"": 5.0, ""solver"": ""lbfgs""}",0.752983293556086,0.6970596922592799,0.6827411712485407,0.6840817950699283,0.7487628827133653,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LogisticRegression/label_encoder.joblib
02_Basic_Clean,LogisticRegression,29,0.6390892901837698,0.7189633201021761,0.7192353643966547,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 10.0, ""solver"": ""lbfgs""}","{""C"": 10.0, ""solver"": ""lbfgs""}",0.7613365155131265,0.7095220795537344,0.7032857937008301,0.7014169397719718,0.7596283122160987,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LogisticRegression/label_encoder.joblib
05_Balanced,LinearSVC,41,0.6389883173487065,0.7108947490352431,0.7204301075268817,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 2.0, ""class_weight"": null}","{""C"": 2.0, ""class_weight"": null}",0.7494033412887828,0.7065378762478248,0.6861045013152852,0.6876305867776943,0.7434696542286803,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LinearSVC/label_encoder.joblib
03_Full_Clean,LogisticRegression,27,0.6366112011131538,0.7203328614672351,0.7204301075268817,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 10.0, ""solver"": ""lbfgs""}","{""C"": 10.0, ""solver"": ""lbfgs""}",0.7601431980906921,0.7011117196229996,0.7059213784431854,0.6996374919851475,0.758708760407235,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LogisticRegression/label_encoder.joblib
03_Full_Clean,LinearSVC,27,0.6358476380024054,0.7186676331328773,0.7240143369175627,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 3], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 5.0, ""class_weight"": ""balanced""}","{""C"": 5.0, ""class_weight"": ""balanced""}",0.7541766109785203,0.6842806120405358,0.6643914977891736,0.6698075696525733,0.7488856574042857,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LinearSVC/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LinearSVC/label_encoder.joblib
04_No_Stopwords,LogisticRegression,29,0.631380308274802,0.7152732979460692,0.7168458781362007,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}","{""C"": 10.0, ""solver"": ""lbfgs""}","{""C"": 10.0, ""solver"": ""lbfgs""}",0.7625298329355609,0.7024714781488265,0.7019208084869606,0.6970909633994529,0.7603750583201664,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LogisticRegression/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LogisticRegression/label_encoder.joblib
