y_true,y_pred,count,model_name
T13,T10,13,XLM-RoBERTa
T10,T13,12,PhoBERT
T10,T13,9,mBERT
T10,T13,9,XLM-RoBERTa
T13,T10,8,mBERT
T10,T03,7,PhoBERT
T13,T02,6,PhoBERT
T03,T10,6,PhoBERT
T03,T10,6,mBERT
T13,T09,6,mBERT
T03,T02,6,XLM-RoBERTa
T03,T10,6,XLM-RoBERTa
T03,T02,5,mBERT
T03,T13,5,mBERT
T03,T13,4,XLM-RoBERTa
T02,T03,4,mBERT
T01,T12,4,XLM-RoBERTa
T13,T10,4,PhoBERT
T13,T09,4,PhoBERT
T13,T15,4,XLM-RoBERTa
T03,T17,4,XLM-RoBERTa
T02,T03,4,XLM-RoBERTa
T02,T06,4,PhoBERT
T03,T02,4,PhoBERT
T03,T13,4,PhoBERT
T13,T02,4,XLM-RoBERTa
T03,T04,4,mBERT
T02,T04,3,XLM-RoBERTa
T09,T17,3,PhoBERT
T12,T13,3,PhoBERT
T12,T13,3,XLM-RoBERTa
T10,T03,3,XLM-RoBERTa
T03,T09,3,PhoBERT
T09,T17,3,XLM-RoBERTa
T02,T03,3,PhoBERT
T03,T09,3,mBERT
T03,T01,3,mBERT
T10,T15,3,mBERT
T15,T13,3,PhoBERT
T12,T13,3,mBERT
T15,T13,3,mBERT
T13,T15,3,PhoBERT
T09,T17,3,mBERT
T10,T03,3,mBERT
T10,T01,3,mBERT
T01,T12,3,mBERT
T12,T01,3,PhoBERT
T13,T12,3,XLM-RoBERTa
T01,T12,3,PhoBERT
T15,T13,3,XLM-RoBERTa
T04,T03,3,XLM-RoBERTa
T09,T03,3,XLM-RoBERTa
T02,T06,3,XLM-RoBERTa
T06,T10,3,PhoBERT
T03,T17,3,PhoBERT
T03,T01,3,PhoBERT
T07,T03,3,mBERT
T07,T03,3,PhoBERT
T02,T16,3,PhoBERT
T13,T15,2,mBERT
T02,T06,2,mBERT
T10,T09,2,PhoBERT
T10,T06,2,PhoBERT
T13,T04,2,PhoBERT
T15,T10,2,mBERT
T17,T03,2,mBERT
T15,T03,2,mBERT
T02,T05,2,XLM-RoBERTa
T17,T02,2,mBERT
T10,T11,2,PhoBERT
T10,T12,2,PhoBERT
T07,T03,2,XLM-RoBERTa
T03,T01,2,XLM-RoBERTa
T04,T10,2,XLM-RoBERTa
T13,T05,2,PhoBERT
T13,T07,2,PhoBERT
T17,T03,2,XLM-RoBERTa
T13,T16,2,XLM-RoBERTa
T16,T10,2,XLM-RoBERTa
T13,T08,2,PhoBERT
T12,T17,2,PhoBERT
T12,T03,2,PhoBERT
T10,T01,2,PhoBERT
T10,T02,2,PhoBERT
T10,T05,2,PhoBERT
T02,T13,2,mBERT
T05,T15,2,mBERT
T05,T13,2,mBERT
T05,T03,2,mBERT
T04,T12,2,mBERT
T04,T13,2,mBERT
T10,T12,2,mBERT
T06,T10,2,mBERT
T11,T06,2,mBERT
T12,T03,2,mBERT
T12,T01,2,mBERT
T14,T10,2,PhoBERT
T13,T02,2,mBERT
T13,T12,2,mBERT
T13,T03,2,mBERT
T10,T17,2,mBERT
T01,T02,2,mBERT
T13,T05,2,mBERT
T13,T06,2,mBERT
T13,T07,2,mBERT
T09,T03,2,mBERT
T13,T03,2,XLM-RoBERTa
T13,T07,2,XLM-RoBERTa
T13,T08,2,XLM-RoBERTa
T10,T02,2,XLM-RoBERTa
T12,T03,2,XLM-RoBERTa
T13,T09,2,XLM-RoBERTa
T10,T06,2,XLM-RoBERTa
T05,T03,2,PhoBERT
T04,T12,2,PhoBERT
T02,T04,2,PhoBERT
T04,T09,2,PhoBERT
T02,T05,1,PhoBERT
T02,T12,1,PhoBERT
T03,T05,1,PhoBERT
T03,T15,1,PhoBERT
T03,T16,1,PhoBERT
T04,T02,1,PhoBERT
T04,T10,1,PhoBERT
T04,T13,1,PhoBERT
T05,T04,1,PhoBERT
T06,T01,1,PhoBERT
T06,T07,1,PhoBERT
T06,T13,1,PhoBERT
T06,T15,1,PhoBERT
T07,T12,1,PhoBERT
T07,T16,1,PhoBERT
T08,T09,1,PhoBERT
T09,T03,1,PhoBERT
T09,T04,1,PhoBERT
T10,T01,1,XLM-RoBERTa
T10,T04,1,XLM-RoBERTa
T10,T05,1,XLM-RoBERTa
T10,T07,1,XLM-RoBERTa
T10,T09,1,XLM-RoBERTa
T10,T11,1,XLM-RoBERTa
T10,T12,1,XLM-RoBERTa
T10,T15,1,XLM-RoBERTa
T10,T17,1,XLM-RoBERTa
T11,T01,1,XLM-RoBERTa
T11,T17,1,XLM-RoBERTa
T12,T01,1,XLM-RoBERTa
T12,T09,1,XLM-RoBERTa
T12,T14,1,XLM-RoBERTa
T12,T15,1,XLM-RoBERTa
T12,T17,1,XLM-RoBERTa
T13,T04,1,XLM-RoBERTa
T13,T05,1,XLM-RoBERTa
T13,T06,1,XLM-RoBERTa
T02,T14,1,mBERT
T02,T16,1,mBERT
T03,T12,1,mBERT
T03,T16,1,mBERT
T03,T17,1,mBERT
T04,T02,1,mBERT
T04,T03,1,mBERT
T04,T06,1,mBERT
T04,T09,1,mBERT
T05,T02,1,mBERT
T06,T01,1,mBERT
T06,T03,1,mBERT
T06,T07,1,mBERT
T07,T13,1,mBERT
T09,T01,1,mBERT
T09,T04,1,mBERT
T09,T08,1,mBERT
T09,T13,1,mBERT
T10,T02,1,mBERT
T10,T05,1,mBERT
T10,T06,1,mBERT
T10,T09,1,mBERT
T11,T01,1,mBERT
T12,T02,1,mBERT
T12,T07,1,mBERT
T12,T10,1,mBERT
T12,T14,1,mBERT
T12,T15,1,mBERT
T12,T17,1,mBERT
T13,T04,1,mBERT
T13,T08,1,mBERT
T14,T02,1,PhoBERT
T14,T05,1,PhoBERT
T15,T03,1,PhoBERT
T15,T04,1,PhoBERT
